judul_lagu;nama_artis;playlist_name;url;genre_lagu;lyrics
Skeptikal;Seringai;2000s Indonesian Indie;3TzgYy0KuzvMhjfcuAdepO;['bali indie', 'indonesian hardcore', 'indonesian indie'];Aku lelah dengar ocehmu, aku lelah telan janjimu Aku akan hapuskan senyum itu di wajahmu  Kini aku mengerti, mengapa kami marah dengan dunia ini Kini aku mengrti, tak mungkin terulang lagi! Kini sikapku skeptikal. ...
Fallen Japanese;Sajama Cut;2000s Indonesian Indie;2b5zeSMZrwA9ygkrG5Kc5E;['indonesian indie'];Because the Japanese, would've known better Than to throw this love away And it seemed like the work of gods yesterday Because the Japanese saw shadows Of men lying in the dark And they seemed like the wrath of ghosts' fate at night Because the Japanese unlike the latter Chose to say we'll find a way ...
Sebelah Mata;Efek Rumah Kaca;2000s Indonesian Indie;3M0RfjqAJZ1f6qXJkP1Uej;['indonesian alternative rock', 'indonesian indie', 'indonesian indie rock'];Sebelah mataku yang mampu melihat Bercak adalah sebuah warna-warna mempesona Membaur suara, dibawanya kegetiran Begitu asing terdengar  Sebelah mataku yang mempelajari Gelombang 'kan mengisi seluruh ruang tubuhku Terbentuk dari sel aku Dan tiap tetes adalah sebuah proses yang alami  Tapi sebelah mataku yang lain menyadari ...
Pulang;Float;2000s Indonesian Indie;5Ge3e6dV4wsae8lDQQq8PY;['indonesian folk', 'indonesian indie'];Dan lalu Rasa itu tak mungkin lagi kini Tersimpan di hati Bawa aku pulang, rindu Bersamamu  Dan lalu Air mata tak mungkin lagi kini Bicara tentang rasa Bawa aku pulang, rindu Segera ...
Live in New York;The SIGIT;2000s Indonesian Indie;0rLVhCeZKcZJsdD6KkQ9Rx;['indonesian alternative rock', 'indonesian indie', 'indonesian rock'];You got me lying On the ground But if you find me Don't mess me round Get girls left and right Gonna sleep all day And drink all night Get my cash get my career You want my money don't get near dear Bite the fingers no I don't care This is my sweet revenge  Or maybe we could go for ride You got me tired till the sun go down ...
Polypanic Rooms;Polyester Embassy;2000s Indonesian Indie;1KER62no0SGNgvsnnpAb7M;['indonesian indie', 'indonesian neo-psychedelia', 'indonesian shoegaze'];Help me out just get me out of here Is anybody outside help some stranger here Pull me up I'm gonna die in here Can anybody out there want be my square Help me out just get me out of here Is anybody outside help some stranger here Pull me up I'm gonna die in here ...
Wanderlust;Santamonica;2000s Indonesian Indie;1uNcofY1jJhxUNrrJUGJ2Y;['indonesian indie'];A ride in my car Gleam of the eyes He smiled at me Tried not to care A ride in my car Smiling, crooked teeth He's so unreal Wandered in doubt Look. ...
Pria Idaman Wanita;The Changcuters;2000s Indonesian Indie;6DsIkdx9T11UFbQHeoRbrn;['indonesian blues', 'indonesian indie', 'indonesian pop', 'indonesian pop rock'];Bukan kita kepedean Tapi fakta membuktikan Kita tampan dan rupawan Jadi elo jangan pada heran Kalo kita cowok idola Idaman wanita  Gaya kita selalu terdepan Dan juga jadi panutan Tapi tetap tidak lupa teman Because friendship is number one ...
Di Udara;Efek Rumah Kaca;2000s Indonesian Indie;53obrFXV7Kfog0r9skoKj2;['indonesian alternative rock', 'indonesian indie', 'indonesian indie rock'];Aku sering diancam juga teror mencekam Kerap ku disingkirkan sampai dimana kapan  Ku bisa tenggelam di lautan Aku bisa diracun di udara Aku bisa terbunuh di trotoar jalan tapi aku tak pernah mati Tak akan berhenti  ...
Hanya Kau;The Adams;2000s Indonesian Indie;3UfR1fCPSLK4AXyl5QtKqN;['indonesian alternative rock', 'indonesian indie', 'indonesian indie rock'];'Ku berjalan tiada henti 'Tuk memastikan diri Mencari apa yang terbaik Di dalam hati ini  Tak peduli yang telah terjadi Tak pedulikan lagi Tanpa segala rasa ragu Di dalam hati ini  Hanya kau yang bisa Memastikan semua ...
