judul_lagu;nama_artis;playlist_name;url;genre_lagu;lyrics
Yang Patah Tumbuh, Yang Hilang Berganti;Banda Neira;INDIE INDONESIA TOP HITS;https://open.spotify.com/track/6Rd4ep779v8CjlFVhaHrNX;['indonesian folk pop', 'indonesian indie', 'indonesian pop'];Jatuh dan tersungkur di tanah aku Berselimut debu sekujur tubuhku Panas dan menyengat Rebah dan berkarat  Yang... Yang patah tumbuh, yang hilang berganti Yang hancur lebur akan terobati Yang sia-sia akan jadi makna Yang terus berulang suatu saat henti Yang pernah jatuh 'kan berdiri lagi Yang patah tumbuh, yang hilang berganti  ...
Bingung;Iksan Skuter;INDIE INDONESIA TOP HITS;https://open.spotify.com/track/2MByeciqKbwpnytXC30gv9;['indonesian folk', 'indonesian indie', 'malang indie'];Kiri dikira komunis Kanan dicap kapitalis Keras dikatai fasis Tengah dinilai tak ideologis  Muka klimis katanya necis Jenggotan dikatai teroris Bersurban dibilang kearab-araban Bercelana Levi's di-bully kebarat-baratan  Diam dianggap pasif Lantang katanya subversif Bertani dianggap kuno Jadi pegawai distempel mental londo  Memilih jadi kere salah Ingin kaya sangatlah susah Belum berhasil dihina Sukses jadi omongan tetangga  Makin hari makin susah saja ...
Hembusan Nafasku Merindukanmu;ROFA;INDIE INDONESIA TOP HITS;https://open.spotify.com/track/0xYLnSvT1wtUmgFcXKZB4t;['lagu melayu'];Sekantong sunyi dan gerimis senja Ku merindukanmu, mungkin kau tak tahu Nisan dan rumputan, basah kedinginan Cintaku padamu semakin dalam  Sudah suratan dan ketetapan Tarikan nafasku adalah mencintaimu Hembusan nafasku, merindukanmu Sudah suratan dan ketetapan Tarikan nafasku adalah mencintaimu ...
Akad;Payung Teduh;INDIE INDONESIA TOP HITS;https://open.spotify.com/track/3AAAGS7iM1ekDywqdYMJG2;['indonesian folk', 'indonesian indie', 'indonesian pop', 'indonesian singer-songwriter'];Betapa bahagianya hatiku Saat ku duduk berdua denganmu Berjalan bersamamu Menarilah denganku  Namun, bila hari ini adalah yang terakhir Namun, ku tetap bahagia Selalu kusyukuri Begitulah adanya  Namun, bila kau ingin sendiri Cepat, cepatlah sampaikan kepadaku Agar ku tak berharap Dan buat kau bersedih ...
Untuk Perempuan Yang Sedang Di Pelukan;Payung Teduh;INDIE INDONESIA TOP HITS;https://open.spotify.com/track/0urpBLpcm6DOGzs86rcKd8;['indonesian folk', 'indonesian indie', 'indonesian pop', 'indonesian singer-songwriter'];Tak terasa gelap pun jatuh Di ujung malam menuju pagi yang dingin Hanya ada sedikit bintang malam ini Mungkin kar'na kau sedang cantik-cantiknya  Lalu mataku merasa malu Semakin dalam ia malu kali ini Kadang juga ia takut Tatkala harus berpapasan di tengah di pelariannya  Di malam hari Menuju pagi Sedikit cemas ...
Rindu Sahabat;Iksan Skuter;INDIE INDONESIA TOP HITS;https://open.spotify.com/track/62wkxM3Zyjl3uni8RJsRYc;['indonesian folk', 'indonesian indie', 'malang indie'];Dimanakah engkau berada sahabat lama yang kutunggu Telah lama tak ada kabar darimu sahabat lama ku  Aku rindu saat-saat kita lewati panjangnya malam Menghisap rokok nikmati kopi bicara tentang cinta dan mati  Aku rindu semuanya Aku rindu semuanya Sahabatku  Aku harap kau datang menemani di sini ...
Di Gerimis Senja Ku Memikirkanmu;ROFA;INDIE INDONESIA TOP HITS;https://open.spotify.com/track/63XtqLpWcWFz7SQ7AV3Eyo;['lagu melayu'];Gerimis menangis tipis Kar'na mega senja makin menua Remang-remang merenda udara Bunga mawar terinjak kuda  Mungkinkah derita Awal dari nikmat sempurna?  Memikirkanmu, meleleh air mataku ...
Mengunci Ingatan;Barasuara;INDIE INDONESIA TOP HITS;https://open.spotify.com/track/1WYR1Amb1BSBFJ3YvxLvqS;['indonesian indie', 'indonesian indie rock'];Sembuhkan lukamu Yang membiru Serpihan hatimu Yang berdebu  Pagimu yang terluka Malammu yang menyiksa Hal yang ingin kau lupa Justru semakin nyata  Sembuhkan lukamu Yang membiru Serpihan hatimu Serpihan hatimu  Pagimu yang terluka Malammu yang menyiksa Hal yang ingin kau lupa Justru semakin nyata ...
When You Love Someone;Endah N Rhesa;INDIE INDONESIA TOP HITS;https://open.spotify.com/track/2XWsariqeTCH61B53r8yA3;['indonesian folk', 'indonesian folk pop', 'indonesian indie'];I love you but it's not so easy to make you here with me I wanna touch and hold you forever But you're still in my dream And I can't stand to wait 'til night is coming to my life But I still have a time to break a silence  When you love someone Just be brave to say that you want him to be with you When you hold your love Don't ever let it go Or you will lose your chance To make your dreams come true  I used to hide and watch you from a distance and I knew you realized ...
Bahas Bahasa;Barasuara;INDIE INDONESIA TOP HITS;https://open.spotify.com/track/6atraFGvJAsnmAxIZa4kLh;['indonesian indie', 'indonesian indie rock'];Oh, itu tak kau lihat, tak kau ragu Peluh dan peluru hujam memburu Bahasamu bahas bahasanya Lihat kau bicara dengan siapa, ah-ah, ah-ah Lihat kau bicara dengan siapa  Lidah kian berlari tanpa henti Tanpa disadari tak ada arti Bahasamu bahas bahasanya Lihat kau bicara dengan siapa, ah-ah, ah-ah Lihat kau bicara dengan siapa  ...
Black Amplifier;The SIGIT;INDIE INDONESIA TOP HITS;https://open.spotify.com/track/6up6IbvbFlfO95oZDVPoLo;['indonesian alternative rock', 'indonesian indie', 'indonesian rock'];They don't give you a right They're just giving you a fight As you hold on to the bright light Shall he send you the might to night  Black amplifier (amplifier, amplifier, amplifier) Black amplifier (amplifier, amplifier, amplifier) Black amplifier (amplifier, amplifier, amplifier) ...
Angin Menyentuh Pundakmu;ROFA;INDIE INDONESIA TOP HITS;https://open.spotify.com/track/4KZNxsMEGgVQA4wTYQ7KEi;['lagu melayu'];Kalau kau ingin merasakan Sejuknya rindu dalam cintaku Pandanglah, lalu lalang jalanan Dari kejauhan saat hari berangkat malam  Kugandeng tanganmu berjalan Berdua menyusuri pematang, hu-uh Embun pagi di pucuk rerumputan Basahi kaki kita yang telanjang  ...
